code,duration_m,event,years_to_touch,touch_year,fast,earn_dom,earn_mult,pe_mult,pe0
600425,128.97503285151117,1,4.23,2009,0,1.0,4.827586206896552,1.049223602484472,27.75862068965517
600436,29.00788436268068,1,4.95,2021,0,1.0,4.52808988764045,1.5339774981702576,50.55056179775281
600438,220.86070959264126,0,2.5,2008,1,0.0,0.216338028169014,10.15238536910198,12.338028169014084
600439,94.48094612352168,1,2.02,2007,1,0.0,1.3965517241379313,3.679610594441724,15.655172413793103
600446,0.0328515111695138,1,1.22,2015,1,0.0,0.5344827586206897,20.106337071468523,41.75862068965517
600456,233.90275952693824,0,1.47,2007,1,0.0,1.5782828282828285,2.966365673420739,10.593434343434344
600458,198.68593955321944,0,4.37,2009,0,1.0,3.533834586466165,1.8342476288131253,24.96240601503759
600460,0.0328515111695138,1,4.63,2021,0,1.0,14.124999999999998,0.7237432849765136,85.25
600468,229.63206307490142,0,1.81,2007,1,0.0,0.762406015037594,5.4491310139719324,28.7218045112782
600481,200.88699080157687,0,4.09,2009,0,1.0,4.7697189483227564,0.9138476173379232,39.16591115140526
600482,226.51116951379763,0,2.02,2007,1,0.0,2.208333333333333,3.472591269398236,21.125000000000004
600497,233.73850197109067,0,1.32,2007,1,1.0,4.111926605504587,2.0392211341357536,11.021406727828746
600499,204.0735873850197,0,3.87,2009,0,0.0,0.9950372208436724,2.096074437245144,16.799007444168733
600509,93.8239159001314,1,2.07,2007,1,0.0,1.28,6.344057125307124,16.28
600511,229.17214191852824,0,1.66,2007,1,0.0,2.602851861631899,3.1226125318675764,14.681806179033536
600515,173.94875164257556,1,1.43,2007,1,,,,
600516,222.17477003942182,0,2.29,2008,1,,,,
600517,231.14323258869908,0,1.67,2007,1,1.0,6.717557251908397,0.974449211502783,29.923664122137403
600519,11.662286465177397,1,4.98,2021,0,0.0,3.1374906085649883,3.46599804252895,14.785123966942148
600523,230.88042049934296,0,1.57,2007,1,,,,
600531,225.85413929040735,0,2.14,2007,1,0.0,1.8421052631578947,4.5340372670807465,12.105263157894736
600533,2.9894875164257555,1,1.97,2007,1,0.0,1.1977401129943503,4.985820468839337,6.991525423728814
600547,229.0407358738502,0,1.84,2007,1,0.0,2.1914545454545453,4.043599103957521,16.0
600549,225.7227332457293,0,2.12,2007,1,0.0,0.5392376681614349,7.812258909033104,11.729260089686097
600550,230.22339027595268,0,1.71,2007,1,0.0,2.0,3.7688860435339313,25.19354838709677
600551,198.02890932982916,0,4.24,2010,0,1.0,15.25,0.2508226911813543,135.75
600552,197.56898817345598,0,4.29,2010,0,,,,
600557,199.90144546649145,0,4.27,2009,0,0.0,1.597444089456869,2.8360853658536587,15.71884984025559
600570,226.80683311432324,0,2.05,2007,1,1.0,11.822916666666668,0.3507403723177489,107.6388888888889
600582,230.94612352168198,0,1.69,2007,1,0.0,2.2988505747126435,3.0794375000000005,13.79310344827586
600586,186.00525624178712,1,2.36,2008,1,0.0,1.0168598524762908,4.541913590241796,40.463645943098
600588,198.02890932982916,0,4.46,2010,0,0.0,0.7192982456140351,2.8802571526721303,26.157894736842103
600595,229.2706964520368,0,1.8,2007,1,1.0,3.675856307435255,2.7172540106951875,14.20217209690894
600596,225.0328515111695,0,2.16,2007,1,0.0,1.7965625,3.604038480584516,8.708333333333334
600609,233.77135348226017,0,1.22,2007,1,,,,
600612,197.79894875164257,0,4.32,2010,0,,,,
600630,190.86727989487517,1,2.57,2008,1,0.0,1.5483870967741935,3.7472527472527473,88.06451612903226
600655,178.71222076215506,1,1.66,2007,1,1.0,5.465217391304347,1.6051752292425578,20.65217391304348
600657,232.62155059132718,0,1.54,2007,1,,,,
600674,223.5873850197109,0,2.16,2007,1,0.0,0.9900398406374502,7.639380587321397,20.98273572377158
600702,230.2890932982917,0,1.75,2007,1,1.0,2.8183908045977013,1.2702283849918434,80.45977011494253
600728,229.86202365308804,0,1.88,2007,1,,,,
600737,222.634691195795,0,2.34,2007,1,,,,
600739,232.98291721419184,0,1.54,2007,1,1.0,13.855882352941176,0.5416508536865149,23.294117647058822
600744,231.011826544021,0,1.65,2007,1,,,,
600745,230.65045992115637,0,1.59,2007,1,,,,
600757,220.9921156373193,0,1.93,2008,1,,,,
600761,226.77398160315374,0,2.08,2007,1,0.0,1.9148936170212767,4.106283068783069,10.72340425531915
600763,9.165571616294349,1,4.86,2021,0,1.0,5.214285714285714,1.941093148857229,71.38095238095238
600773,229.7634691195795,0,1.76,2007,1,,,,
600779,219.87516425755584,0,2.62,2008,1,1.0,4.0,2.1229281767955803,22.625
600785,195.10512483574243,0,4.42,2010,0,1.0,2.6666666666666665,1.793552036199095,17.0
600809,194.87516425755584,0,4.7,2010,0,1.0,3.732026143790849,2.0867828685543524,20.03267973856209
600810,231.34034165571614,0,1.66,2007,1,1.0,2.463768115942029,0.8262260723766942,61.01449275362318
600812,141.1957950065703,1,4.66,2010,0,,,,
600816,229.0735873850197,0,1.43,2007,1,0.0,1.6899999999999995,5.133350484521054,345.0
600825,94.90801576872536,1,1.73,2007,1,,,,
600830,2.890932982917214,1,2.28,2007,1,0.0,1.991150442477876,2.595009022944058,38.14159292035398
600839,112.64783180026281,1,2.63,2015,1,,,,
600859,189.19185282522994,1,1.8,2007,1,1.0,9.826086956521738,0.8455462740881649,77.53623188405795
600875,226.31406044678053,0,1.96,2007,1,0.0,2.080136402387041,3.92053883364687,8.840579710144926
600881,183.63994743758212,1,1.41,2006,1,,,,
600883,89.32325886990802,1,2.43,2008,1,0.0,0.072,78.76414273281114,153.2
600887,152.82522996057818,0,4.75,2013,0,,,,
600893,198.09461235216818,0,2.64,2010,1,1.0,38.0,0.2321935077213993,334.0
600961,227.23390275952693,0,2.02,2007,1,0.0,0.930232558139535,8.295575221238938,19.7093023255814
600962,225.59132720105123,0,2.14,2007,1,0.0,2.380952380952381,3.1416445623342173,17.952380952380953
600963,1.149802890932983,1,1.99,2007,1,0.0,0.6590909090909091,8.186154251118717,14.886363636363637
600973,227.8909329829172,0,1.97,2007,1,0.0,2.175,2.618090248162138,14.15
600983,200.29566360052561,0,4.15,2009,0,1.0,5.166666666666667,1.5191220485533752,24.250000000000004
